max_depth,n_estimators,learning_rate,loso_auc,loso_recall,loso_f1,random_auc,random_f1
4,300,0.05,0.6906395455253297,0.8606267747612116,0.7970414543161661,0.9496725119544593,0.916262224748281
4,500,0.05,0.6963685987051921,0.8662643388907556,0.802260107480835,0.9608640597645169,0.9269964909227995
6,300,0.05,0.6897727595180315,0.8698521136401374,0.8023853156405222,0.971126666127825,0.9381553578507422
6,500,0.05,0.6900761229437267,0.8713643198965929,0.8046028598960523,0.976618324088514,0.9447232514197335
