threshold,cost
0.1,7975.0
0.11,7724.0
0.12,7459.0
0.13,7224.0
0.13999999999999999,7062.0
0.14999999999999997,6832.0
0.15999999999999998,6661.0
0.16999999999999998,6505.0
0.17999999999999997,6372.0
0.18999999999999995,6215.0
0.19999999999999996,6112.0
0.20999999999999996,6020.0
0.21999999999999995,5935.0
0.22999999999999995,5876.0
0.23999999999999994,5828.0
0.24999999999999992,5783.0
0.2599999999999999,5753.0
0.2699999999999999,5749.0
0.2799999999999999,5740.0
0.2899999999999999,5758.0
0.29999999999999993,5756.0
0.30999999999999994,5868.0
0.3199999999999999,5959.0
0.32999999999999985,6015.0
0.33999999999999986,6134.0
0.34999999999999987,6168.0
0.3599999999999999,6327.0
0.3699999999999999,6486.0
0.3799999999999999,6625.0
0.3899999999999999,6713.0
0.3999999999999998,6858.0
0.4099999999999998,6984.0
0.4199999999999998,7208.0
0.4299999999999998,7390.0
0.43999999999999984,7581.0
0.44999999999999984,7786.0
0.45999999999999985,8005.0
0.46999999999999986,8239.0
0.47999999999999976,8455.0
0.48999999999999977,8645.0
0.4999999999999998,8852.0
0.5099999999999998,9060.0
0.5199999999999998,9357.0
0.5299999999999998,9660.0
0.5399999999999998,9827.0
0.5499999999999998,10177.0
0.5599999999999997,10555.0
0.5699999999999997,10922.0
0.5799999999999997,11264.0
0.5899999999999997,11560.0
0.5999999999999998,11947.0
0.6099999999999998,12330.0
0.6199999999999998,12743.0
0.6299999999999997,13089.0
0.6399999999999997,13546.0
0.6499999999999997,13956.0
0.6599999999999997,14461.0
0.6699999999999997,15000.0
0.6799999999999997,15484.0
0.6899999999999997,15945.0
0.6999999999999996,16398.0
0.7099999999999996,16979.0
0.7199999999999996,17525.0
0.7299999999999996,18219.0
0.7399999999999997,19014.0
0.7499999999999997,19631.0
0.7599999999999997,20451.0
0.7699999999999997,21353.0
0.7799999999999997,22302.0
0.7899999999999996,23229.0
0.7999999999999996,24225.0
0.8099999999999996,25261.0
0.8199999999999996,26356.0
0.8299999999999996,27501.0
0.8399999999999996,28715.0
0.8499999999999996,29915.0
0.8599999999999995,31379.0
0.8699999999999996,32909.0
0.8799999999999996,34596.0
0.8899999999999996,36382.0
