feature,mean_shap_Arunachal Pradesh,mean_abs_shap_Arunachal Pradesh,mean_shap_Assam,mean_abs_shap_Assam,mean_shap_Manipur,mean_abs_shap_Manipur,mean_shap_Meghalaya,mean_abs_shap_Meghalaya,mean_shap_Mizoram,mean_abs_shap_Mizoram,mean_shap_Nagaland,mean_abs_shap_Nagaland,mean_shap_Tripura,mean_abs_shap_Tripura,consistency_flag,max_mag_ratio
dist_to_nearest_hospital_km,-0.009329495020210743,0.07662694156169891,0.40054526925086975,0.4185367822647095,0.1282191425561905,0.17452605068683624,0.003085725475102663,0.00336666451767087,8.363271626876667e-05,0.004849870689213276,0.1647009700536728,0.19933059811592102,0.006707502529025078,0.006797768175601959,SIGN_FLIP,124.31793212890625
dist_to_nearest_school_km,-0.061775676906108856,0.18126700818538666,0.25772854685783386,0.40197256207466125,0.07671742141246796,0.2005787342786789,0.0,0.0,0.0,0.0,0.07310403138399124,0.16994142532348633,0.0001558172079967335,0.0006973744020797312,SIGN_FLIP,4019725568.0
road_density_5km,-0.027779502794146538,0.10954555869102478,0.6841598153114319,0.7910873293876648,0.04137720912694931,0.13763269782066345,-0.0001634695945540443,0.00031014400883577764,0.0002431054599583149,0.0018529457738623023,0.009589253924787045,0.07008585333824158,-6.548921373905614e-05,0.000618274905718863,SIGN_FLIP,2550.709716796875
is_lowland,-0.0020985244773328304,0.006110474932938814,0.000964222417678684,0.0016287307953462005,0.007300014607608318,0.008687399327754974,0.0,0.0,0.0,0.0,-0.003957039210945368,0.006310705561190844,0.0,0.0,SIGN_FLIP,86873992.0
near_major_river,0.0,0.0,-0.00019864032219629735,0.0015798003878444433,7.048575935186818e-05,9.024961764225736e-05,0.0,0.0,0.0,0.0,0.00029894057661294937,0.00078158441465348,0.0,0.0,SIGN_FLIP,15798004.0
Total Geographical Area (in Hectares),0.03563621640205383,0.03935934603214264,-0.07368598133325577,0.09044244140386581,0.06753703951835632,0.07748723775148392,0.0,0.0,0.0,0.0,0.024748370051383972,0.0322028286755085,3.0592564144171774e-05,0.0013087958795949817,SIGN_FLIP,904424384.0
Total Population of Village,-0.0017672559479251504,0.003946198616176844,-0.02414480783045292,0.05830579251050949,0.009538285434246063,0.021217290312051773,0.0,0.0,-0.00017898868827614933,0.0007442046189680696,0.014160347171127796,0.020347272977232933,3.708559233928099e-05,3.8950809539528564e-05,SIGN_FLIP,583057920.0
Tap Water-Treated (Status A(1)/NA(2)),-7.97396496636793e-05,0.00010002760245697573,0.004435635171830654,0.007932637818157673,-0.0014109564945101738,0.0020323856733739376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SIGN_FLIP,79326376.0
Tap Water-Treated Functioning All round the year (Status A(1)/NA(2)),0.0,0.0,0.0005745982634834945,0.001433660858310759,1.1207129318790976e-05,0.00020613697415683419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SIGN_FLIP,14336608.0
Tap Water-Treated Functioning in Summer months (April-September) (Status A(1)/NA(2)),0.0,0.0,0.00032576368539594114,0.005862076301127672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SIGN_FLIP,58620764.0
Tap Water Untreated (Status A(1)/NA(2)),9.409652557224035e-05,0.0001538181968498975,-0.0007424700888805091,0.002537497552111745,0.0006938542355783284,0.0018131970427930355,0.0,0.0,0.0,0.0,7.744882896076888e-05,0.0007405690848827362,0.0,0.0,SIGN_FLIP,25374976.0
Tap Water Untreated Functioning All round the year (Status A(1)/NA(2)),0.0,0.0,-0.0012857438996434212,0.005946215707808733,0.0,0.0,0.0,0.0,0.0,0.0,-1.8565162463346496e-05,3.385141462786123e-05,0.0,0.0,SIGN_FLIP,59462156.0
Tap Water Untreated Functioning in Summer months (April-September) (Status A(1)/NA(2)),4.626814552466385e-05,4.805119169759564e-05,-0.0002393292379565537,0.005902864504605532,1.708081254037097e-05,0.00010857869347091764,0.0,0.0,0.0,0.0,-0.00014747817476745695,0.00023412122391164303,0.0,0.0,SIGN_FLIP,59028644.0
Covered Well (Status A(1)/NA(2)),0.0,0.0,0.002108220709487796,0.004546107724308968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SIGN_FLIP,45461076.0
Covered Well Functioning All round the year (Status A(1)/NA(2)),0.0,0.0,-0.000868528033606708,0.0032924122642725706,0.0,0.0,0.0,0.0,0.0,0.0,0.00014734822616446763,0.00023954067728482187,0.0,0.0,SIGN_FLIP,32924122.0
Covered Well Functioning in Summer months (April-September) (Status A(1)/NA(2)),0.0,0.0,0.01562589220702648,0.022097455337643623,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010753378737717867,0.0015900041908025742,0.0,0.0,SIGN_FLIP,220974544.0
Uncovered  Well (Status A(1)/NA(2)),-0.0007616843795403838,0.0010089577408507466,0.003378844354301691,0.010265214368700981,1.2788591448043007e-05,0.00011013100447598845,0.0,0.0,0.0,0.0,6.0024722188245505e-05,0.0008119388949126005,0.0,0.0,SIGN_FLIP,102652144.0
Uncovered  Well Functioning All round the year (Status A(1)/NA(2)),0.0021757304202765226,0.002388511085882783,0.008507850579917431,0.010118085891008377,-0.0028325263410806656,0.005102934315800667,0.0,0.0,0.0,0.0,0.000416764261899516,0.0008688541711308062,0.0,0.0,SIGN_FLIP,101180856.0
Uncovered  Well Functioning in Summer months (April-September) (Status A(1)/NA(2)),0.001529010245576501,0.0016379791777580976,0.03268442675471306,0.047148436307907104,-0.0033452394418418407,0.0063611483201384544,0.0,0.0,0.0,0.0,0.003090109908953309,0.003090109908953309,0.0,0.0,SIGN_FLIP,471484352.0
Hand Pump (Status A(1)/NA(2)),-1.6016601875890046e-05,0.0005348521517589688,-0.12386737018823624,0.1376974880695343,0.003596134018152952,0.004014300648123026,0.0,0.0,0.0,0.0,0.00027753703761845827,0.0006345498841255903,0.0,0.0,SIGN_FLIP,1376974848.0
Hand Pump Functioning All round the year (Status A(1)/NA(2)),7.694022497162223e-05,7.954989996505901e-05,0.011884002946317196,0.03668348491191864,0.01602763682603836,0.020516155287623405,0.0,0.0,0.0,0.0,-0.009957844391465187,0.009973665699362755,0.0,0.0,SIGN_FLIP,366834848.0
Hand Pump Functioning in Summer months (April-September) (Status A(1)/NA(2)),-0.0017521126428619027,0.002547615207731724,0.008349524810910225,0.01705952174961567,0.010156593285501003,0.010688343085348606,0.0,0.0,0.0,0.0,-0.004629683215171099,0.004641812760382891,0.0,0.0,SIGN_FLIP,170595216.0
Tube Wells/Borehole (Status A(1)/NA(2)),0.00011969430488534272,0.0001345828059129417,-0.05221998319029808,0.06908293813467026,0.00010429471149109304,0.00013543029490392655,0.0,0.0,0.0,0.0,0.00011692451516864821,0.0009488440700806677,0.0,0.0,SIGN_FLIP,690829376.0
Tube Wells/Borehole Functioning All round the year (Status A(1)/NA(2)),-0.004797772970050573,0.005682480987161398,0.008319047279655933,0.012164811603724957,0.009309370070695877,0.010065094567835331,0.0,0.0,0.0,0.0,0.0016671600751578808,0.016178514808416367,0.0,0.0,SIGN_FLIP,161785152.0
Tube Wells/Borehole Functioning in Summer months (April-September) (Status A(1)/NA(2)),-0.0008324558730237186,0.0008338394691236317,0.0007782843895256519,0.0020553276408463717,0.0009570214315317571,0.00108725402969867,0.0,0.0,0.0,0.0,0.00024441981804557145,0.004065033048391342,0.0,0.0,SIGN_FLIP,40650328.0
Spring (Status A(1)/NA(2)),2.530818346713204e-05,0.00026893659378401935,-0.00044181940029375255,0.004843361675739288,0.000193120984476991,0.00024214161385316402,0.0,0.0,0.0,0.0,1.1109723345725797e-05,0.00012668278941418976,0.0,0.0,SIGN_FLIP,48433616.0
Spring Functioning All round the year (Status A(1)/NA(2)),8.261672519438434e-06,0.0003357691748533398,-0.0009252142044715583,0.006026681512594223,0.0006261804956011474,0.0011007646098732948,0.0,0.0,0.0,0.0,0.00017215576372109354,0.000764496682677418,0.0,0.0,SIGN_FLIP,60266816.0
Spring Functioning in Summer months (April-September) (Status A(1)/NA(2)),-0.00019158923532813787,0.0002955719828605652,0.00052346580196172,0.006288248114287853,-0.0002528731420170516,0.00026812273426912725,0.0,0.0,0.0,0.0,0.0001945570984389633,0.0005054972716607153,0.0,0.0,SIGN_FLIP,62882480.0
Black Topped (pucca) Road (Status A(1)/NA(2)),0.00015647796681150794,0.0012532591354101896,-0.012888976372778416,0.03191450983285904,9.06064724404132e-06,5.2453156968113035e-05,0.0,0.0,0.0,0.0,5.922565378568834e-06,0.00014216544514056295,0.0,0.0,SIGN_FLIP,319145088.0
All Weather Road (Status A(1)/NA(2)),-0.0005332431173883379,0.000967540720012039,-0.029363660141825676,0.06972917169332504,0.0006372794741764665,0.0020621600560843945,0.0,0.0,1.7220105291926302e-05,8.082617569016293e-05,8.354583769687451e-06,0.003937581554055214,6.64206309011206e-05,6.64206309011206e-05,SIGN_FLIP,697291712.0
Power Supply For Domestic Use  (Status A(1)/NA(2)),-0.004285095725208521,0.010794383473694324,0.015462305396795273,0.04469837620854378,0.002903348533436656,0.004676706623286009,0.0,0.0,0.0,0.0,0.008991622366011143,0.012517979368567467,0.0,0.0,SIGN_FLIP,446983744.0
Power Supply For Domestic Use Summer (April-Sept.) per day (in Hours),-0.0006381868734024465,0.006688077002763748,0.08476603031158447,0.12242191284894943,-0.008681995794177055,0.01194886863231659,0.0,0.0,0.0,0.0,-0.004272586200386286,0.019133344292640686,0.0,0.0,SIGN_FLIP,1224219136.0
