fold,accuracy,auc,recall,precision,f1
1,0.9880681818181818,0.9994677293104675,0.9897993311036789,0.9926211638437028,0.9912082391358955
2,0.9878395272190021,0.99934154406138,0.9897993311036789,0.9922883487007544,0.9910422771033905
3,0.9892033185589272,0.9994461851673012,0.9904682274247492,0.9936252306659956,0.9920442174022276
4,0.9884077736106376,0.9994350329405931,0.9882943143812709,0.994614607876136,0.9914443885254152
5,0.9880668257756563,0.9994614304984927,0.988628762541806,0.9937804673054295,0.9911979210327773
